code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
0110,1,1,0,Hospital,Inpatient (Part A),11,Non-payment/Zero Claim
0210,2,1,0,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Non-payment/Zero Claim
0310,3,1,0,Home Health,Inpatient (Part A),31,Non-payment/Zero Claim
0410,4,1,0,Religious Nonmedical (Hospital),Inpatient (Part A),41,Non-payment/Zero Claim
0510,5,1,0,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Non-payment/Zero Claim
0610,6,1,0,Intermediate Care,Inpatient (Part A),61,Non-payment/Zero Claim
0710,7,1,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Non-payment/Zero Claim
0810,8,1,0,Special facility or hospital,Hospice (non-hospital based),81,Non-payment/Zero Claim
0910,9,1,0,Reserved for National Assignment,Inpatient (Part A),91,Non-payment/Zero Claim
0120,1,2,0,Hospital,Inpatient (Part B),12,Non-payment/Zero Claim
0220,2,2,0,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Non-payment/Zero Claim
0320,3,2,0,Home Health,Inpatient (Part B),32,Non-payment/Zero Claim
0420,4,2,0,Religious Nonmedical (Hospital),Inpatient (Part B),42,Non-payment/Zero Claim
0520,5,2,0,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Non-payment/Zero Claim
0620,6,2,0,Intermediate Care,Inpatient (Part B),62,Non-payment/Zero Claim
0720,7,2,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Non-payment/Zero Claim
0820,8,2,0,Special facility or hospital,Hospice (hospital based),82,Non-payment/Zero Claim
0920,9,2,0,Reserved for National Assignment,Inpatient (Part B),92,Non-payment/Zero Claim
0130,1,3,0,Hospital,Outpatient,13,Non-payment/Zero Claim
0230,2,3,0,Skilled Nursing Facility (SNF),Outpatient,23,Non-payment/Zero Claim
0330,3,3,0,Home Health,Outpatient,33,Non-payment/Zero Claim
0430,4,3,0,Religious Nonmedical (Hospital),Outpatient,43,Non-payment/Zero Claim
0530,5,3,0,Religious Nonmedical (Extended Care),Outpatient,53,Non-payment/Zero Claim
0630,6,3,0,Intermediate Care,Outpatient,63,Non-payment/Zero Claim
0730,7,3,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Non-payment/Zero Claim
0830,8,3,0,Special facility or hospital,ASC Services to Hospital Outpatients,83,Non-payment/Zero Claim
0930,9,3,0,Reserved for National Assignment,Outpatient,93,Non-payment/Zero Claim
0140,1,4,0,Hospital,Other (Part B),14,Non-payment/Zero Claim
0240,2,4,0,Skilled Nursing Facility (SNF),Other (Part B),24,Non-payment/Zero Claim
0340,3,4,0,Home Health,Other (Part B),34,Non-payment/Zero Claim
0440,4,4,0,Religious Nonmedical (Hospital),Other (Part B),44,Non-payment/Zero Claim
0540,5,4,0,Religious Nonmedical (Extended Care),Other (Part B),54,Non-payment/Zero Claim
0640,6,4,0,Intermediate Care,Other (Part B),64,Non-payment/Zero Claim
0740,7,4,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Non-payment/Zero Claim
0840,8,4,0,Special facility or hospital,Free Standing Birthing Center,84,Non-payment/Zero Claim
0940,9,4,0,Reserved for National Assignment,Other (Part B),94,Non-payment/Zero Claim
0150,1,5,0,Hospital,Intermediate Care - Level I,15,Non-payment/Zero Claim
0250,2,5,0,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Non-payment/Zero Claim
0350,3,5,0,Home Health,Intermediate Care - Level I,35,Non-payment/Zero Claim
0450,4,5,0,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Non-payment/Zero Claim
0550,5,5,0,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Non-payment/Zero Claim
0650,6,5,0,Intermediate Care,Intermediate Care - Level I,65,Non-payment/Zero Claim
0750,7,5,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Non-payment/Zero Claim
0850,8,5,0,Special facility or hospital,Critical Access Hospital (CAH),85,Non-payment/Zero Claim
0950,9,5,0,Reserved for National Assignment,Intermediate Care - Level I,95,Non-payment/Zero Claim
0160,1,6,0,Hospital,Intermediate Care - Level II,16,Non-payment/Zero Claim
0260,2,6,0,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Non-payment/Zero Claim
0360,3,6,0,Home Health,Intermediate Care - Level II,36,Non-payment/Zero Claim
0460,4,6,0,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Non-payment/Zero Claim
