npi,combined_hs_and_corp,combined_hs_and_corp_name
1154370153,HSI00000197,Central Maine Healthcare Corporation
1477691467,HSI00000197,Central Maine Healthcare Corporation
1447204763,HSI00000330,Northern Light Health
1740249739,HSI00000330,Northern Light Health
1073651576,HSI00000197,Central Maine Healthcare Corporation
1689653487,HSI00000197,Central Maine Healthcare Corporation
1861433765,HSI00000197,Central Maine Healthcare Corporation
1790789147,HSI00000330,Northern Light Health
1396496378,HSI00000330,Northern Light Health
1629078712,HSI00000330,Northern Light Health
1245292788,HSI00000287,Covenant Health Systems
1447226584,HSI00000287,Covenant Health Systems
1952306524,HSI00000287,Covenant Health Systems
1154321545,HSI00000287,Covenant Health Systems
1376528398,HSI00001274,York Hospital
1538144662,HSI00001274,York Hospital
1205991122,HSI00000197,Central Maine Healthcare Corporation
1982742482,HSI00000197,Central Maine Healthcare Corporation
1376579557,HSI00000330,Northern Light Health
1427181486,HSI00000330,Northern Light Health
1851423008,HSI00000330,Northern Light Health
1023057809,HSI00000330,Northern Light Health
1053601864,HSI00000611,MaineHealth
1245873082,HSI00000611,MaineHealth
1295800118,HSI00000611,MaineHealth
1316035116,HSI00000611,MaineHealth
1346299815,HSI00000611,MaineHealth
1396815106,HSI00000611,MaineHealth
1437723822,HSI00000611,MaineHealth
1477629384,HSI00000611,MaineHealth
1487720215,HSI00000611,MaineHealth
1528151065,HSI00000611,MaineHealth
1598798787,HSI00000611,MaineHealth
1619510047,HSI00000611,MaineHealth
1639194509,HSI00000611,MaineHealth
1659392819,HSI00000611,MaineHealth
1740685072,HSI00000611,MaineHealth
1760436216,HSI00000611,MaineHealth
1780788372,HSI00000611,MaineHealth
1790265502,HSI00000611,MaineHealth
1811288061,HSI00000611,MaineHealth
1811451081,HSI00000611,MaineHealth
1811917222,HSI00000611,MaineHealth
1841397932,HSI00000611,MaineHealth
1861184509,HSI00000611,MaineHealth
1881709202,HSI00000611,MaineHealth
1912094806,HSI00000611,MaineHealth
1922791417,HSI00000611,MaineHealth
1932164795,HSI00000611,MaineHealth
1962573337,HSI00000611,MaineHealth
1982645305,HSI00000611,MaineHealth
1013176544,HSI00000330,Northern Light Health
1063617744,HSI00000330,Northern Light Health
1295367803,HSI00000330,Northern Light Health
1457461477,HSI00000330,Northern Light Health
1174549133,HSI00001412,Redington Fairview General Hospital
1982029468,HSI00001412,Redington Fairview General Hospital
1366429763,HSI00000197,Central Maine Healthcare Corporation
1992789184,HSI00000610,MaineGeneral Health
1255791026,HSI00000330,Northern Light Health
1265551212,HSI00000330,Northern Light Health
1396858999,HSI00000330,Northern Light Health
1396864336,HSI00000330,Northern Light Health
1982723037,HSI00000330,Northern Light Health
1033316849,HSI00000610,MaineGeneral Health
1003109695,HSI00000287,Covenant Health Systems
1023475134,HSI00000287,Covenant Health Systems
1164477568,HSI00000287,Covenant Health Systems
1417301623,HSI00000287,Covenant Health Systems
1447542071,HSI00000287,Covenant Health Systems
1477909810,HSI00000287,Covenant Health Systems
1487080958,HSI00000287,Covenant Health Systems
1558654145,HSI00000287,Covenant Health Systems
1710279344,HSI00000287,Covenant Health Systems
1760836977,HSI00000287,Covenant Health Systems
1821442039,HSI00000287,Covenant Health Systems
1942592571,HSI00000287,Covenant Health Systems
1942655345,HSI00000287,Covenant Health Systems
1871793711,HSI00000330,Northern Light Health
1073527388,HSI00000611,MaineHealth
1104921535,HSI00000611,MaineHealth
1134144090,HSI00000611,MaineHealth
1144245028,HSI00000611,MaineHealth
1285738310,HSI00000611,MaineHealth
1386937175,HSI00000611,MaineHealth
1447354899,HSI00000611,MaineHealth
1467477349,HSI00000611,MaineHealth
1598780447,HSI00000611,MaineHealth
1992719272,HSI00000611,MaineHealth
1356676688,HSI00000197,Central Maine Healthcare Corporation
1215940523,HSI00000330,Northern Light Health
1780615492,HSI00000860,Quorum Health Corporation
1093716086,HSI00000860,Quorum Health Corporation
1700805868,HSI00000860,Quorum Health Corporation
1245225861,HSI00000530,John Muir Health
1891748257,HSI00001121,UF Health
1912062647,HSI00000852,Providence
1407912645,HSI00000109,Berkshire Health Systems
1417979402,HSI00001006,Southeast Georgia Health System
1588608335,HSI00000889,Rochester Regional Health System
1265021109,HSI00000510,Indiana University Health
1285613141,HSI00000244,Commonwealth Health Corporation
1659418671,HSI00000166,Care New England Health System
1366428153,HSI00000929,Saint Josephs Health
1942242136,HSI00001319,Holland Hospital
1518141761,HSI00000492,HCA Healthcare
1033195474,HSI00000492,HCA Healthcare
1043221922,HSI00000210,Childrens Hospital Los Angeles
1467410761,HSI00000863,RWJBarnabas Health
1063468361,HSI00000492,HCA Healthcare
1639246234,HSI00000492,HCA Healthcare
1104978519,HSI00000813,Mass General Brigham
1205998176,HSI00000492,HCA Healthcare
1811012958,HSI00000492,HCA Healthcare
1366639312,HSI00001175,University of Maryland Medical System
1922337195,HSI00000904,SUNY Upstate Medical University
1033437447,HSI00000492,HCA Healthcare
1245556091,HSI00000492,HCA Healthcare
1306933619,HSI00000299,Dartmouth-Hitchcock
1366687683,HSI00000299,Dartmouth-Hitchcock
1922160035,HSI00000299,Dartmouth-Hitchcock
1023092053,HSI00000299,Dartmouth-Hitchcock
1366971186,HSI00000299,Dartmouth-Hitchcock
1629788237,HSI00000299,Dartmouth-Hitchcock
1699275503,HSI00000299,Dartmouth-Hitchcock
1821150806,HSI00000299,Dartmouth-Hitchcock
1700864709,HSI00000611,MaineHealth
1932624624,HSI00000611,MaineHealth
1942361985,HSI00000611,MaineHealth
1518007236,HSI00000299,Dartmouth-Hitchcock
1770684672,HSI00000299,Dartmouth-Hitchcock
1831200583,HSI00000299,Dartmouth-Hitchcock
1093787384,HSI00000287,Covenant Health Systems
1669462792,HSI00000287,Covenant Health Systems
1821616269,HSI00000287,Covenant Health Systems
1003803495,HSI00000299,Dartmouth-Hitchcock
1346456043,HSI00000299,Dartmouth-Hitchcock
1649581232,HSI00000299,Dartmouth-Hitchcock
1497944623,HSI00000165,Capital Region Health Care
1689863342,HSI00000165,Capital Region Health Care
1942264940,HSI00000165,Capital Region Health Care
1689731572,HSI00000492,HCA Healthcare
1003692112,HSI00000188,Catholic Medical Center
1154984714,HSI00000188,Catholic Medical Center
1235370057,HSI00000188,Catholic Medical Center
1265487755,HSI00000188,Catholic Medical Center
1285928259,HSI00000188,Catholic Medical Center
1336245240,HSI00000188,Catholic Medical Center
1386672319,HSI00000188,Catholic Medical Center
1427154335,HSI00000188,Catholic Medical Center
1528150273,HSI00000188,Catholic Medical Center
1780382366,HSI00000188,Catholic Medical Center
1841623527,HSI00000188,Catholic Medical Center
1942215819,HSI00000188,Catholic Medical Center
1972559904,HSI00000188,Catholic Medical Center
1114014487,HSI00000287,Covenant Health Systems
1033761739,HSI00000299,Dartmouth-Hitchcock
1043324908,HSI00000299,Dartmouth-Hitchcock
1093803397,HSI00000299,Dartmouth-Hitchcock
1629181516,HSI00000299,Dartmouth-Hitchcock
1952415812,HSI00000299,Dartmouth-Hitchcock
1023074390,HSI00000299,Dartmouth-Hitchcock
1033162037,HSI00000338,Solutionhealth
1184979742,HSI00000338,Solutionhealth
1205996691,HSI00000338,Solutionhealth
1396089827,HSI00000338,Solutionhealth
1396805743,HSI00000338,Solutionhealth
1477613834,HSI00000338,Solutionhealth
1679921472,HSI00000338,Solutionhealth
1801220280,HSI00000338,Solutionhealth
1720077167,HSI00000492,HCA Healthcare
1144388737,HSI00000492,HCA Healthcare
1598700940,HSI00000338,Solutionhealth
1740365683,HSI00000338,Solutionhealth
1134155872,HSI00000813,Mass General Brigham
1447352430,HSI00000813,Mass General Brigham
1831191659,HSI00000338,Solutionhealth
1104883511,HSI00000338,Solutionhealth
1932216918,HSI00000745,Broward Health
1154319531,HSI00000502,Hunterdon Healthcare System
1023265717,HSI00000178,Carson Tahoe Health
1518267301,HSI00000178,Carson Tahoe Health
1134296700,HSI00001096,Tidelands Health
1043228448,HSI00000911,Saint Bernards Healthcare
1093829608,HSI00001369,AtlantiCare
1639226608,HSI00000575,Lee Health
1033179312,HSI00000756,NorthShore – Edward-Elmhurst Health
1760437560,HSI00001244,WellStar Health System
1376901900,HSI00001123,UNC Health Care System
1467993931,HSI00001123,UNC Health Care System
1639244478,HSI00001123,UNC Health Care System
1306849708,HSI00000299,Dartmouth-Hitchcock
1013928068,HSI00001308,Gifford Health Care
1730199647,HSI00001308,Gifford Health Care
1942329446,HSI00001308,Gifford Health Care
1053331389,HSI00001185,University of Vermont Health Network
1134457013,HSI00001185,University of Vermont Health Network
1235159567,HSI00001185,University of Vermont Health Network
