code,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
0016074,1,0,0,0,0,0,0,0,0,0,0,0,1
001607B,1,0,0,0,0,0,0,0,0,0,0,0,1
00160J5,1,0,0,0,0,0,0,0,0,0,1,0,1
00160J6,1,0,0,0,0,0,0,0,0,0,1,0,1
00160KB,1,0,0,0,0,0,0,0,0,0,1,0,1
00160ZB,0,0,0,0,0,0,0,0,0,0,0,0,0
0016373,1,0,0,0,0,0,0,0,0,0,0,0,1
0016376,1,0,0,0,0,0,0,0,0,0,0,0,1
00163J6,1,0,0,0,0,0,0,0,0,0,1,0,1
0016473,0,0,0,0,0,0,0,0,0,0,0,0,0
0016475,0,0,0,0,0,0,0,0,0,0,0,0,0
001U3K2,0,0,0,0,0,0,0,0,0,0,0,0,0
001U474,0,0,0,0,0,0,0,0,0,0,0,0,0
001U4K9,0,0,0,0,0,0,0,0,0,0,0,0,0
00500Z3,0,0,0,0,0,0,0,0,0,0,0,0,0
00564ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005A3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005A4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005F4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005J0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005Q0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005R0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005T0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
005Y4Z3,0,0,0,0,0,0,0,0,0,0,0,0,0
00804ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008F0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008K4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008L4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008M0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008Q3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008S4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008W3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
008X0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00900ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00920ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009230Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00923ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00944ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009540Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00954ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00960ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00973ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00983ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009840Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009940Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009C00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009D0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009G00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009G0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009H40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009J0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009J4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009K0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009L40Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009N0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009N4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009P3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009R30Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009T30Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009T4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
009U30Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009X0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009Y00Z,0,0,0,0,0,0,0,0,0,0,0,0,0
009Y3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
009Y4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00B04ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00B10ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00B73ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00B94ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BA4ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BC0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BC3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BD0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BF0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BJ0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BJ4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BM0ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00BN3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BT4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00BY3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0
00C80ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CC0ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CG4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CH3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CJ3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CL3ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00CN4ZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
