value,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
A00,0,0,0,0,0,0,0,0,0,0,0,0,0
A00.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A00.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A01,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.00,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.02,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.03,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.04,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.05,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.09,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A01.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.20,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.21,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.22,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.23,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.24,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.25,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.29,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A02.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0,0,0,0,0
A03.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A03.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A03.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A03.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A03.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A03.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.6,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.71,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.72,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A04.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A05,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A05.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.6,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A06.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A07,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A07.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A08,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.11,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.19,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.31,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.32,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.39,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A08.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,0,0,0,0,0,0
A15,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.6,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A15.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A17,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.83,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A17.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A18,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.02,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.03,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.09,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.10,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.11,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.12,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.13,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.14,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.15,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.16,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.17,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.18,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.31,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.32,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.50,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.51,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.52,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.53,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.54,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.59,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.6,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.83,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.84,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.85,0,0,0,0,0,0,0,0,0,0,0,0,0
A18.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A19,0,0,0,0,0,0,0,0,0,0,0,0,0
A19.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A19.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A19.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A19.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A20,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A20.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A21,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A21.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A22,0,0,0,0,0,0,0,0,0,0,0,0,0
A22.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A22.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A22.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A22.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A22.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A23,0,0,0,0,0,0,0,0,0,0,0,0,0
A23.0,0,0,0,0,0,0,0,0,0,0,0,0,0
